address,area,year,floors,entrance,flats,latitude,longitude
"ул. Очаковская Б., д. 10, к. 2, Москва",10990.60,2012,25,1,144,55.68841607,37.46264
"ш. Боровское, д. 2А, к. 1, Москва",28962.00,2017,25,6,412,55.66139457,37.4142205
"ул. Братеевская, д. 18, к. 1, Москва",12488.70,2001,25,1,240,55.63618857,37.769226
"ул. Братеевская, д. 21, к. 4, Москва",12908.40,2001,25,1,239,55.63158957,37.7541525
"пр-кт. Буденного, д. 51, к. 5, Москва",13330.40,2017,25,1,161,55.75930907,37.738863
"ш. Варшавское, д. 141, к. 7, Москва",16675.10,2017,25,1,240,55.58997657,37.601205
"ш. Варшавское, д. 141А, к. 1, Москва",17528.90,2018,25,1,192,55.58532107,37.601178
"ул. Васильцовский Стан, д. 5, к. 1, Москва",15273.00,2007,25,1,240,55.71382607,37.7507115
"ул. Васильцовский Стан, д. 9, Москва",15751.00,2009,25,1,240,55.71596057,37.751026
"пр-кт. Вернадского, д. 42, к. 2, Москва",14962.00,2008,25,1,216,55.67549357,37.498851
"ул. Верхние Поля, д. 14, к. 1, Москва",18211.00,2001,25,4,301,55.66168857,37.747415
"ул. Верхние Поля, д. 34, к. 1, Москва",12262.00,2000,25,1,248,55.66776157,37.7619315
"проезд. Высоковольтный, д. 1, к. 2, Москва",8556.00,2010,25,1,144,55.87436407,37.5890865
"ул. Генерала Белова, д. 28, к. 1, Москва",41880.80,2018,25,8,472,55.60532707,37.724499
"ул. Герасима Курина, д. 26, Москва",30083.31,2017,25,4,384,55.73028857,37.464805
"ул. Главмосстроя, д. 10, Москва",50030.30,2008,25,7,460,55.65332457,37.4099175
"ул. Главмосстроя, д. 20, Москва",9039.00,2009,25,1,96,55.65551857,37.408112
"ул. Гурьянова, д. 19, к. 1, Москва",10692.70,2001,25,1,148,55.68813157,37.7187135
"ш. Дмитровское, д. 70, Москва",21243.10,2018,25,7,383,55.85908407,37.5589485
"ш. Дмитровское, д. 86, Москва",9681.00,2013,25,1,169,55.86936957,37.5498575
"ул. Заповедная, д. 18, к. 2, Москва",12653.00,2010,25,1,143,55.86792457,37.6387635
"проезд. Заревый, д. 1, к. 1, Москва",15723.00,2011,25,3,276,55.88241857,37.6581765
"наб. Карамышевская, д. 34, Москва",18089.70,2015,25,3,312,55.76919007,37.472674
"ул. Ключевая, д. 18, Москва",12525.70,2001,25,1,238,55.63395757,37.7610875
"ул. Красного Маяка, д. 22, к. 3, Москва",12612.80,2010,25,1,144,55.61250207,37.5773725
"ул. Лавочкина, д. 34, Москва",58848.00,2002,25,5,478,55.85634107,37.4938475
"г. Московский, ул. Лаптева, д. 2, Москва",15633.20,2016,25,1,124,55.60148757,37.3668615
"ул. Левобережная, д. 4, к. 11, Москва",11133.40,2013,25,1,144,55.86929357,37.479735
"ул. Левобережная, д. 4, к. 3, Москва",11061.60,2017,25,2,144,55.87070807,37.4755845
"пр-кт. Ленинградский, д. 76, к. 4, Москва",17002.40,2002,25,1,157,55.80679807,37.5161525
"пр-кт. Ленинский, д. 105, к. 3, Москва",20544.00,2008,25,1,144,55.66424857,37.51759
"ул. Лобачевского, д. 4, к. 1, Москва",9087.00,2007,25,1,144,55.66562957,37.507304
"ул. Лобачевского, д. 45, Москва",9893.00,2011,25,1,182,55.69076507,37.4691525
"ул. Лодочная, д. 9, к. 1, Москва",17353.00,2004,25,1,149,55.83727757,37.4582115
"ул. Лодочная, д. 17, Москва",17523.70,2005,25,1,147,55.83648857,37.4597655
"ул. Льва Яшина, д. 5, к. 1, Москва",13950.50,2014,25,1,182,55.69822357,37.9230445
"ул. Милашенкова, д. 1, Москва",32615.60,2003,25,5,405,55.82137557,37.587946
"ул. Митинская, д. 28, к. 2, Москва",29194.00,2015,25,5,432,55.84581957,37.3690535
"ул. Митинская, д. 28, к. 3, Москва",36346.00,2015,25,4,552,55.84630457,37.371425
"ул. Митинская, д. 28, к. 5, Москва",32617.00,2016,25,6,568,55.84432857,37.3715865
"ул. Молодогвардейская, д. 24, Москва",26935.00,2016,25,3,440,55.73558057,37.4201225
"п. Московский, г. Московский, ул. Москвитина, д. 1, к. 2, Москва",12662.40,2016,25,1,145,55.59967157,37.3573575
"п. Московский, г. Московский, ул. Москвитина, д. 5, к. 2, Москва",12660.60,2016,25,1,121,55.59947357,37.3605915
"п. Московский, г. Московский, ул. Москвитина, д. 5, к. 4, Москва",12671.60,2016,25,1,149,55.59978857,37.361265
"ул. Народного Ополчения, д. 3, Москва",53853.00,2015,25,7,629,55.77028907,37.4736715
"ул. Недорубова, д. 7, Москва",15582.00,2015,25,2,192,55.70065857,37.9305095
"ул. Недорубова, д. 18, к. 1, Москва",16157.90,2016,25,2,192,55.70253057,37.93554
"ул. Нежинская, д. 8, к. 1, Москва",26768.00,2005,25,1,163,55.70919557,37.469997
"ул. Никулинская, д. 6, к. 2, Москва",14939.80,2002,25,1,216,55.66713207,37.4634665
"ул. Никулинская, д. 12, к. 1, Москва",14932.00,2006,25,1,216,55.66952857,37.4675265
